10.3723 	WARNING 	Monitor specification not found. Creating a temporary one...
102.5307 	EXP 	Sound  started
103.0501 	EXP 	Sound  started
103.5462 	EXP 	Sound  started
104.0458 	EXP 	Sound  started
104.5456 	EXP 	Sound  started
105.0463 	EXP 	Sound  started
105.5473 	EXP 	Sound  started
106.0471 	EXP 	Sound  started
106.5476 	EXP 	Sound  started
107.0495 	EXP 	Sound  started
107.5487 	EXP 	Sound  started
108.0493 	EXP 	Sound  started
108.5503 	EXP 	Sound  started
109.0530 	EXP 	Sound  started
109.5705 	EXP 	Sound  started
110.0904 	EXP 	Sound  started
110.5864 	EXP 	Sound  started
111.0870 	EXP 	Sound  started
111.5885 	EXP 	Sound  started
112.1217 	EXP 	Sound  started
112.6711 	EXP 	Sound  started
113.2204 	EXP 	Sound  started
113.7203 	EXP 	Sound  started
114.2314 	EXP 	Sound  started
114.7231 	EXP 	Sound  started
115.2258 	EXP 	Sound  started
115.7228 	EXP 	Sound  started
116.2230 	EXP 	Sound  started
116.7235 	EXP 	Sound  started
117.2252 	EXP 	Sound  started
117.7274 	EXP 	Sound  started
118.2283 	EXP 	Sound  started
118.7247 	EXP 	Sound  started
119.2301 	EXP 	Sound  started
119.7257 	EXP 	Sound  started
120.2259 	EXP 	Sound  started
120.7263 	EXP 	Sound  started
121.2278 	EXP 	Sound  started
121.7274 	EXP 	Sound  started
122.2280 	EXP 	Sound  started
122.7280 	EXP 	Sound  started
123.2307 	EXP 	Sound  started
123.7311 	EXP 	Sound  started
124.2312 	EXP 	Sound  started
124.7328 	EXP 	Sound  started
125.2323 	EXP 	Sound  started
125.7308 	EXP 	Sound  started
126.2326 	EXP 	Sound  started
126.7368 	EXP 	Sound  started
127.2329 	EXP 	Sound  started
127.7326 	EXP 	Sound  started
128.2378 	EXP 	Sound  started
128.7518 	EXP 	Sound  started
129.2644 	EXP 	Sound  started
129.7710 	EXP 	Sound  started
130.2693 	EXP 	Sound  started
130.7685 	EXP 	Sound  started
131.2731 	EXP 	Sound  started
131.7700 	EXP 	Sound  started
132.2691 	EXP 	Sound  started
132.7711 	EXP 	Sound  started
133.2745 	EXP 	Sound  started
133.7738 	EXP 	Sound  started
134.2704 	EXP 	Sound  started
134.7712 	EXP 	Sound  started
135.2714 	EXP 	Sound  started
135.7717 	EXP 	Sound  started
136.2724 	EXP 	Sound  started
136.7731 	EXP 	Sound  started
137.2732 	EXP 	Sound  started
137.7738 	EXP 	Sound  started
138.2740 	EXP 	Sound  started
138.7742 	EXP 	Sound  started
139.2748 	EXP 	Sound  started
139.7753 	EXP 	Sound  started
140.2754 	EXP 	Sound  started
140.7759 	EXP 	Sound  started
141.2761 	EXP 	Sound  started
141.7770 	EXP 	Sound  started
142.2772 	EXP 	Sound  started
142.7775 	EXP 	Sound  started
143.2780 	EXP 	Sound  started
143.7785 	EXP 	Sound  started
144.2792 	EXP 	Sound  started
144.7795 	EXP 	Sound  started
145.2800 	EXP 	Sound  started
145.7800 	EXP 	Sound  started
146.2806 	EXP 	Sound  started
146.7809 	EXP 	Sound  started
147.2814 	EXP 	Sound  started
147.7820 	EXP 	Sound  started
148.2835 	EXP 	Sound  started
148.7826 	EXP 	Sound  started
149.2834 	EXP 	Sound  started
149.7833 	EXP 	Sound  started
150.2838 	EXP 	Sound  started
150.7846 	EXP 	Sound  started
151.2850 	EXP 	Sound  started
151.7853 	EXP 	Sound  started
152.2857 	EXP 	Sound  started
152.7859 	EXP 	Sound  started
153.2915 	EXP 	Sound  started
153.7872 	EXP 	Sound  started
154.2879 	EXP 	Sound  started
154.7926 	EXP 	Sound  started
155.2926 	EXP 	Sound  started
155.7885 	EXP 	Sound  started
156.2899 	EXP 	Sound  started
156.7898 	EXP 	Sound  started
157.2936 	EXP 	Sound  started
157.7934 	EXP 	Sound  started
158.2906 	EXP 	Sound  started
158.7928 	EXP 	Sound  started
159.2918 	EXP 	Sound  started
159.7945 	EXP 	Sound  started
160.2943 	EXP 	Sound  started
160.7969 	EXP 	Sound  started
161.2992 	EXP 	Sound  started
161.7959 	EXP 	Sound  started
162.2941 	EXP 	Sound  started
162.7946 	EXP 	Sound  started
163.2987 	EXP 	Sound  started
163.7951 	EXP 	Sound  started
164.3022 	EXP 	Sound  started
164.7957 	EXP 	Sound  started
165.3009 	EXP 	Sound  started
165.8013 	EXP 	Sound  started
166.3044 	EXP 	Sound  started
166.7977 	EXP 	Sound  started
167.2982 	EXP 	Sound  started
167.7989 	EXP 	Sound  started
168.2989 	EXP 	Sound  started
168.7994 	EXP 	Sound  started
169.2996 	EXP 	Sound  started
169.8001 	EXP 	Sound  started
170.3006 	EXP 	Sound  started
170.8009 	EXP 	Sound  started
171.3021 	EXP 	Sound  started
171.8087 	EXP 	Sound  started
172.3023 	EXP 	Sound  started
172.8026 	EXP 	Sound  started
173.3034 	EXP 	Sound  started
173.8037 	EXP 	Sound  started
174.3041 	EXP 	Sound  started
174.8044 	EXP 	Sound  started
175.3050 	EXP 	Sound  started
175.8079 	EXP 	Sound  started
176.3231 	EXP 	Sound  started
176.8265 	EXP 	Sound  started
177.3231 	EXP 	Sound  started
177.8234 	EXP 	Sound  started
178.3467 	EXP 	Sound  started
178.8409 	EXP 	Sound  started
179.3441 	EXP 	Sound  started
179.8430 	EXP 	Sound  started
180.3463 	EXP 	Sound  started
180.8431 	EXP 	Sound  started
181.3445 	EXP 	Sound  started
181.8462 	EXP 	Sound  started
182.3457 	EXP 	Sound  started
182.8443 	EXP 	Sound  started
183.3452 	EXP 	Sound  started
183.8452 	EXP 	Sound  started
184.3456 	EXP 	Sound  started
184.8462 	EXP 	Sound  started
185.3465 	EXP 	Sound  started
185.8471 	EXP 	Sound  started
186.3469 	EXP 	Sound  started
186.8473 	EXP 	Sound  started
187.3482 	EXP 	Sound  started
187.8486 	EXP 	Sound  started
188.3521 	EXP 	Sound  started
188.8508 	EXP 	Sound  started
189.3505 	EXP 	Sound  started
189.8510 	EXP 	Sound  started
190.3555 	EXP 	Sound  started
190.8539 	EXP 	Sound  started
191.3513 	EXP 	Sound  started
191.8549 	EXP 	Sound  started
192.3559 	EXP 	Sound  started
192.8981 	EXP 	Sound  started
193.3875 	EXP 	Sound  started
193.9070 	EXP 	Sound  started
194.4060 	EXP 	Sound  started
194.9046 	EXP 	Sound  started
195.4216 	EXP 	Sound  started
195.9380 	EXP 	Sound  started
196.4393 	EXP 	Sound  started
196.9396 	EXP 	Sound  started
197.4397 	EXP 	Sound  started
197.9404 	EXP 	Sound  started
198.4405 	EXP 	Sound  started
198.9414 	EXP 	Sound  started
199.4416 	EXP 	Sound  started
199.9419 	EXP 	Sound  started
200.4430 	EXP 	Sound  started
200.9427 	EXP 	Sound  started
201.4432 	EXP 	Sound  started
201.9433 	EXP 	Sound  started
202.4437 	EXP 	Sound  started
202.9444 	EXP 	Sound  started
203.4449 	EXP 	Sound  started
203.9456 	EXP 	Sound  started
204.4459 	EXP 	Sound  started
204.9463 	EXP 	Sound  started
205.4463 	EXP 	Sound  started
205.9468 	EXP 	Sound  started
206.4470 	EXP 	Sound  started
206.9478 	EXP 	Sound  started
207.4481 	EXP 	Sound  started
207.9484 	EXP 	Sound  started
208.4489 	EXP 	Sound  started
208.9495 	EXP 	Sound  started
209.4496 	EXP 	Sound  started
209.9503 	EXP 	Sound  started
210.4508 	EXP 	Sound  started
210.9511 	EXP 	Sound  started
211.4519 	EXP 	Sound  started
211.9521 	EXP 	Sound  started
212.4526 	EXP 	Sound  started
212.9526 	EXP 	Sound  started
213.4531 	EXP 	Sound  started
213.9538 	EXP 	Sound  started
214.4543 	EXP 	Sound  started
214.9547 	EXP 	Sound  started
215.4548 	EXP 	Sound  started
215.9553 	EXP 	Sound  started
216.4561 	EXP 	Sound  started
216.9562 	EXP 	Sound  started
217.4562 	EXP 	Sound  started
217.9571 	EXP 	Sound  started
218.4574 	EXP 	Sound  started
218.9579 	EXP 	Sound  started
219.4579 	EXP 	Sound  started
219.9588 	EXP 	Sound  started
220.4593 	EXP 	Sound  started
220.9591 	EXP 	Sound  started
221.4595 	EXP 	Sound  started
221.9602 	EXP 	Sound  started
222.4613 	EXP 	Sound  started
222.9611 	EXP 	Sound  started
223.4613 	EXP 	Sound  started
223.9618 	EXP 	Sound  started
224.4622 	EXP 	Sound  started
224.9625 	EXP 	Sound  started
225.4634 	EXP 	Sound  started
225.9638 	EXP 	Sound  started
226.4638 	EXP 	Sound  started
226.9643 	EXP 	Sound  started
227.4648 	EXP 	Sound  started
227.9654 	EXP 	Sound  started
228.4655 	EXP 	Sound  started
228.9661 	EXP 	Sound  started
229.4667 	EXP 	Sound  started
229.9667 	EXP 	Sound  started
230.4673 	EXP 	Sound  started
230.9683 	EXP 	Sound  started
231.4678 	EXP 	Sound  started
231.9691 	EXP 	Sound  started
232.4688 	EXP 	Sound  started
232.9691 	EXP 	Sound  started
233.4700 	EXP 	Sound  started
233.9699 	EXP 	Sound  started
234.4707 	EXP 	Sound  started
234.9707 	EXP 	Sound  started
235.4715 	EXP 	Sound  started
235.9717 	EXP 	Sound  started
236.4725 	EXP 	Sound  started
236.9724 	EXP 	Sound  started
237.4733 	EXP 	Sound  started
237.9738 	EXP 	Sound  started
238.4741 	EXP 	Sound  started
238.9745 	EXP 	Sound  started
239.5079 	EXP 	Sound  started
240.0087 	EXP 	Sound  started
240.5094 	EXP 	Sound  started
241.0097 	EXP 	Sound  started
