subject,block,time,melID,trialID,prime,target,type,response,rt
pilot8,invert,0.5123479818503256,2,32,3;2;1,1;3;2,2,2,2499.0855845462647
pilot8,invert,11.126761138637448,1,21,1;2;3,3;2;1,1,1,1853.4411741875374
pilot8,invert,21.095423765465966,1,27,1;2;3,3;1;2,2,2,1682.6261793030426
pilot8,invert,30.895520695326923,2,14,3;2;1,1;2;3,1,2,2019.5081374768051
pilot8,invert,41.031752734767,2,36,3;2;1,1;3;2,2,2,1585.9672692149616
pilot8,invert,50.735216646262415,1,41,1;2;3,1;2;3,2,2,1365.3785351762053
pilot8,invert,60.35141414395548,1,23,1;2;3,3;2;1,1,1,1385.7283360121073
pilot8,invert,69.97072047185611,1,19,1;2;3,3;2;1,1,1,1542.6949054199213
pilot8,invert,79.63165522143026,2,12,3;2;1,1;2;3,1,2,1395.7593732593523
pilot8,invert,89.24855288968138,2,24,3;2;1,1;2;3,1,1,1569.2660133936442
pilot8,invert,98.93244375205359,2,46,3;2;1,3;2;1,2,2,2093.162798042613
pilot8,invert,109.1402372338307,2,44,3;2;1,3;2;1,2,2,1727.3010722456092
pilot8,invert,118.98020486552923,1,43,1;2;3,1;2;3,2,2,1198.4199484431883
pilot8,invert,128.59348972663793,2,22,3;2;1,1;2;3,1,2,930.9774052762805
pilot8,invert,138.20620205244813,2,28,3;2;1,1;3;2,2,2,1451.282169098704
pilot8,invert,147.82129787552913,1,3,1;2;3,3;2;1,1,1,1301.5423079868924
pilot8,invert,157.4362438183507,2,18,3;2;1,1;2;3,1,2,2317.5900712885777
pilot8,invert,167.86903127391997,2,2,3;2;1,1;2;3,1,1,1421.8155641337944
pilot8,invert,177.48433094874235,1,39,1;2;3,1;2;3,2,2,862.7443257919367
pilot8,invert,187.09911133040077,1,1,1;2;3,3;2;1,1,1,1159.4244598018122
pilot8,invert,196.71197207778096,2,26,3;2;1,1;3;2,2,2,1156.2233675358584
pilot8,invert,206.32603551396278,2,20,3;2;1,1;2;3,1,1,1294.1500385277322
pilot8,invert,215.9384830877807,2,6,3;2;1,1;2;3,1,1,1503.6895706325595
pilot8,invert,225.55576621450928,2,10,3;2;1,1;2;3,1,1,1271.587406994513
pilot8,invert,262.6636515572045,1,9,1;2;3,3;2;1,1,1,1483.5983223620133
pilot8,invert,272.27701846955097,2,4,3;2;1,1;2;3,1,1,860.8287029092025
pilot8,invert,281.891947637454,2,42,3;2;1,3;2;1,2,2,701.9902712763724
pilot8,invert,291.50696177397003,1,25,1;2;3,3;1;2,2,2,1160.3076957871963
pilot8,invert,301.12056499387836,2,48,3;2;1,3;2;1,2,2,761.3815094446181
pilot8,invert,310.73497158656755,1,17,1;2;3,3;2;1,1,1,1187.9177547580184
pilot8,invert,320.350757369386,1,29,1;2;3,3;1;2,2,2,829.2608569281583
pilot8,invert,329.9625678609318,1,45,1;2;3,1;2;3,2,2,600.6726742762112
pilot8,invert,339.57673085261376,1,5,1;2;3,3;2;1,1,1,849.62524464936
pilot8,invert,349.1910411718527,2,38,3;2;1,3;2;1,2,2,586.9219809428614
pilot8,invert,358.8053540437959,2,16,3;2;1,1;2;3,1,1,1013.4250410883396
pilot8,invert,368.419003212397,1,13,1;2;3,3;2;1,1,1,1321.776507746108
pilot8,invert,378.03070284360365,1,35,1;2;3,3;1;2,2,2,1219.781714535202
pilot8,invert,387.64536981221863,2,8,3;2;1,1;2;3,1,1,1276.4441108920437
pilot8,invert,397.26017280355154,1,47,1;2;3,1;2;3,2,2,645.7775156995922
pilot8,invert,406.8749272934874,1,7,1;2;3,3;2;1,1,1,1029.8969181185385
pilot8,invert,416.49002968066816,2,30,3;2;1,1;3;2,2,2,952.9959459396196
pilot8,invert,426.1038812423212,2,34,3;2;1,1;3;2,2,2,1002.642414508955
pilot8,invert,435.7182251113991,1,31,1;2;3,3;1;2,2,2,933.5297457619163
pilot8,invert,445.33135608085286,1,37,1;2;3,1;2;3,2,2,773.8088074893312
pilot8,invert,454.9460164853699,1,33,1;2;3,3;1;2,2,2,993.0960265683098
pilot8,invert,464.55981042882195,1,11,1;2;3,3;2;1,1,1,1226.5248675430485
pilot8,invert,474.17470714090086,2,40,3;2;1,3;2;1,2,2,604.6723985837161
pilot8,invert,483.78951815502114,1,15,1;2;3,3;2;1,1,1,1006.5495120852574
