subj;trial;response;RT;time 
;Block3_old_2.wav;1;2132;59.27091109997127 
;Block3_old_2.wav;1;1704;63.91534060006961 
;Block3_new_m3t1e3.wav;2;2389;68.23015329998452 
;Block3_new_m3t1e2.wav;1;269;73.13381989998743 
;Block3_new_m2t1e2.wav;2;617;77.45054610003717 
;Block3_new_m1t1e6.wav;1;253;81.76577970001381 
;Block3_old_2.wav;2;35;86.08048470003996 
;Block3_new_m3t1e1.wav;1;65;90.39450060005765 
;Block3_new_m1t1e8.wav;2;2342;94.70971600001212 
;Block3_old_3.wav;1;2491;99.5680083000334 
;Block3_new_m1t1e7.wav;0;3000;104.57264170004055 
;Block3_old_2.wav;0;3000;110.08646720007528 
;Block3_new_m3t1e6.wav;0;3000;115.59909360005986 
;Block3_old_3.wav;0;3000;121.11179860006087 
;Block3_old_1.wav;2;2130;126.62475149997044 
;Block3_new_m2t1e4.wav;0;3000;131.26759800000582 
;Block3_old_3.wav;0;3000;136.78097479999997 
;Block3_new_m3t1e8.wav;0;3000;142.29293270001654 
;Block3_new_m3t1e5.wav;0;3000;147.81569990003482 
;Block3_new_m2t1e3.wav;0;3000;153.327152700047 
;Block3_new_m2t1e8.wav;0;3000;158.85283290001098 
;Block3_old_3.wav;0;3000;164.36716350005008 
;Block3_old_1.wav;0;3000;169.8800915000029 
;Block3_old_1.wav;1;50;175.39323909999803 
;Block3_new_m2t1e1.wav;2;57;179.7068266000133 
;Block3_new_m1t1e1.wav;0;3000;184.0257126999786 
;Block3_new_m3t1e4.wav;0;3000;189.53501820005476 
;Block3_new_m2t1e5.wav;0;3000;195.05136100004893 
;Block3_old_2.wav;0;3000;200.56369600002654 
;Block3_new_m1t1e4.wav;0;3000;206.0790321000386 
;Block3_old_1.wav;0;3000;211.5912665000651 
;Block3_old_3.wav;0;3000;217.1035966000054 
;Block3_old_2.wav;0;3000;222.61783060000744 
;Block3_new_m3t1e7.wav;0;3000;228.1342631999869 
;Block3_new_m2t1e7.wav;0;3000;233.64963780005928 
;Block3_new_m2t1e6.wav;0;3000;239.16549769998528 
;Block3_old_1.wav;1;2005;244.67858910001814 
;Block3_old_1.wav;1;2088;249.1950635999674 
;Block3_new_m1t1e5.wav;0;3000;253.79608050000388 
;Block3_old_3.wav;0;3000;259.30901399999857 
;Block3_new_m1t1e2.wav;0;3000;264.8209651999641 
;Block3_old_1.wav;0;3000;270.3333324000705 
;Block3_old_2.wav;0;3000;275.8460699999705 
;Block3_new_m1t1e3.wav;0;3000;281.35944400005974 
;Block3_old_2.wav;0;3000;286.8720417000586 
;Block3_old_3.wav;0;3000;292.3841351000592 
;Block3_old_3.wav;0;3000;297.8970992000541 
;Block3_old_1.wav;0;3000;303.40956860000733 
