subject,block,time,melID,trialID,type,prime,target,response,rt
pilot5,invert,0.511946673199418,1,33,2,1;2;3,3;1;2,2,1848.014686092938
pilot5,invert,11.530643435562524,2,24,1,3;2;1,1;2;3,1,1573.1029915550607
pilot5,invert,22.550052768117894,2,36,2,3;2;1,1;3;2,2,1729.7714305314003
pilot5,invert,33.569806716244784,2,6,1,3;2;1,1;2;3,1,2037.7144365811546
pilot5,invert,44.5915696455304,2,22,1,3;2;1,1;2;3,0,2500.0288091323455
pilot5,invert,55.610991741625185,1,35,2,1;2;3,3;1;2,2,1838.1688915324048
pilot5,invert,66.6286736202419,1,29,2,1;2;3,3;1;2,2,1955.8370584636577
pilot5,invert,77.65113416813983,1,1,1,1;2;3,3;2;1,1,2030.5890993549838
pilot5,invert,88.66889809808708,1,7,1,1;2;3,3;2;1,1,1964.724493525864
pilot5,invert,99.68895144238923,2,28,2,3;2;1,1;3;2,2,1815.683910572261
pilot5,invert,110.70547183888993,2,16,1,3;2;1,1;2;3,1,1718.595310456294
pilot5,invert,121.72235982533675,1,45,2,1;2;3,1;2;3,2,1758.2093264281866
pilot5,invert,132.73810456329375,1,15,1,1;2;3,3;2;1,1,1628.4099619770132
pilot5,invert,143.75731113790243,2,46,2,3;2;1,3;2;1,2,2066.3565491195186
pilot5,invert,154.77499228717352,1,17,1,1;2;3,3;2;1,1,1607.471922034165
pilot5,invert,165.79345748246124,2,10,1,3;2;1,1;2;3,1,1501.575750149641
pilot5,invert,176.81044611853213,1,19,1,1;2;3,3;2;1,1,1676.936940089945
pilot5,invert,187.82922128549762,1,23,1,1;2;3,3;2;1,1,2124.4405011202616
pilot5,invert,198.84402079217034,2,12,1,3;2;1,1;2;3,1,1812.7209459889855
pilot5,invert,209.86377328160597,2,40,2,3;2;1,3;2;1,2,1960.6882975858753
pilot5,invert,220.88062334210554,1,25,2,1;2;3,3;1;2,2,1999.169275899476
pilot5,invert,231.89790298688604,1,5,1,1;2;3,3;2;1,1,1910.7328970385424
pilot5,invert,242.91556006776955,2,48,2,3;2;1,3;2;1,2,1501.2985990033485
pilot5,invert,253.93524946885373,2,44,2,3;2;1,3;2;1,2,1501.3565819353971
pilot5,invert,264.95263924474784,1,43,2,1;2;3,1;2;3,2,1501.692810044915
pilot5,invert,275.97072189851315,1,41,2,1;2;3,1;2;3,2,1502.0086164804525
pilot5,invert,286.985946613393,2,42,2,3;2;1,3;2;1,2,1502.882371947635
pilot5,invert,298.005052173703,1,9,1,1;2;3,3;2;1,1,1867.7452951778832
pilot5,invert,309.0223474994018,2,20,1,3;2;1,1;2;3,1,1532.4832086516835
pilot5,invert,320.03664776933147,1,3,1,1;2;3,3;2;1,1,1587.1053240007313
pilot5,invert,331.0540098301135,1,31,2,1;2;3,3;1;2,2,1501.768297264789
pilot5,invert,342.0722956064965,2,2,1,3;2;1,1;2;3,1,1502.4972777209769
pilot5,invert,353.0886088689804,2,14,1,3;2;1,1;2;3,1,1502.194964163209
pilot5,invert,364.1055271232508,2,30,2,3;2;1,1;3;2,2,1653.8783291871368
pilot5,invert,375.1241429283036,1,37,2,1;2;3,1;2;3,2,1502.8192835925438
pilot5,invert,386.1429111664911,2,26,2,3;2;1,1;3;2,2,1641.6318951378344
pilot5,invert,397.16070390556706,2,4,1,3;2;1,1;2;3,1,1501.3507471776393
pilot5,invert,408.17805940224207,2,34,2,3;2;1,1;3;2,2,1503.3509761924506
pilot5,invert,419.1958944433354,2,18,1,3;2;1,1;2;3,1,1502.6336652590544
pilot5,invert,430.2123834779959,1,21,1,1;2;3,3;2;1,1,1500.8183252357412
pilot5,invert,441.22817781142294,1,47,2,1;2;3,1;2;3,2,1501.7449582192057
pilot5,invert,452.2449126353931,1,27,2,1;2;3,3;1;2,2,1562.964000255306
pilot5,invert,463.2642442926917,2,38,2,3;2;1,3;2;1,2,1577.0946974444087
pilot5,invert,474.2795229791118,2,32,2,3;2;1,1;3;2,2,1658.2704455468047
pilot5,invert,485.29580779713433,1,11,1,1;2;3,3;2;1,1,2057.8501968884666
pilot5,invert,496.31207584022195,2,8,1,3;2;1,1;2;3,1,1759.4459310930688
pilot5,invert,507.32957465321306,1,39,2,1;2;3,1;2;3,2,1501.8831691195373
pilot5,invert,518.3477338882185,1,13,1,1;2;3,3;2;1,1,1885.1985240980866
