17.4173 	WARNING 	Monitor specification not found. Creating a temporary one...
22.8168 	EXP 	Sound  started
23.3172 	EXP 	Sound  started
24.1686 	DATA 	Keypress: space
24.1726 	EXP 	Sound  started
24.1726 	EXP 	Sound  started
24.6738 	EXP 	Sound  started
25.1745 	EXP 	Sound  started
28.0718 	DATA 	Keypress: space
28.0944 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1.8)
28.0985 	EXP 	Sound  started
29.0986 	EXP 	Sound  started
29.5987 	EXP 	Sound  started
30.0989 	EXP 	Sound  started
30.9139 	DATA 	Keypress: space
30.9183 	EXP 	Sound  started
30.9183 	EXP 	Sound  started
31.4185 	EXP 	Sound  started
31.9188 	EXP 	Sound  started
34.2201 	DATA 	Keypress: space
34.7059 	DATA 	Keypress: space
37.9134 	DATA 	Keypress: space
37.9136 	EXP 	Sound  started
38.4348 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Trial 1 / 48', units='norm', win=Window(...), wrapWidth=1)
40.9386 	EXP 	Sound  started
41.4239 	EXP 	Sound  started
41.9250 	EXP 	Sound  started
44.9754 	EXP 	Sound  started
45.4754 	EXP 	Sound  started
45.9742 	EXP 	Sound  started
46.5212 	DATA 	Keypress: 2
46.6267 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Trial 2 / 48', units='norm', win=Window(...), wrapWidth=1)
48.9323 	DATA 	Keypress: escape
48.9325 	EXP 	Global key event: shutdown. Calling <function quit_and_save at 0x00000200B4C93E18>.
48.9779 	EXP 	window1: mouseVisible = True
