7.5604 	WARNING 	Monitor specification not found. Creating a temporary one...
76.2426 	DATA 	Keypress: space
76.2474 	EXP 	Sound  started
76.2474 	EXP 	Sound  started
76.7475 	EXP 	Sound  started
77.2474 	EXP 	Sound  started
79.5471 	DATA 	Keypress: 2
82.6985 	DATA 	Keypress: space
84.6985 	DATA 	Keypress: space
84.6987 	EXP 	Sound  started
85.2182 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Trial 1 / 48', units='norm', win=Window(...), wrapWidth=1)
87.7233 	EXP 	Sound  started
88.2094 	EXP 	Sound  started
88.7101 	EXP 	Sound  started
91.6584 	EXP 	Sound  started
92.1579 	EXP 	Sound  started
92.6577 	EXP 	Sound  started
93.0917 	DATA 	Keypress: 2
93.2633 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Trial 2 / 48', units='norm', win=Window(...), wrapWidth=1)
95.5697 	DATA 	Keypress: escape
95.5699 	EXP 	Global key event: shutdown. Calling <function quit_and_save at 0x000002384FC43E18>.
95.6524 	EXP 	window1: mouseVisible = True
