subject,block,time,melID,trialID,type,prime,target,response,rt
pilot1,invert,0.5131789017959818,1,13,1,1;2;3,3;2;1,1,2163.624932809398
pilot1,invert,11.531150330429227,2,12,1,3;2;1,1;2;3,1,1736.5419413563359
pilot1,invert,22.554299380130033,1,5,1,1;2;3,3;2;1,1,1730.292912296136
pilot1,invert,33.57472323175716,1,19,1,1;2;3,3;2;1,1,1878.2821442455315
pilot1,invert,44.59403009132075,2,46,2,3;2;1,1;3;2,2,1954.5592457998282
pilot1,invert,55.61439741870163,1,31,2,1;2;3,3;1;2,2,1791.2730938023742
pilot1,invert,66.63707312341285,2,48,2,3;2;1,1;3;2,2,1737.0455541677075
pilot1,invert,77.65564188570715,2,4,1,3;2;1,1;2;3,1,2389.794857095694
pilot1,invert,88.67469456849358,2,24,1,3;2;1,1;2;3,1,1875.405971732107
pilot1,invert,99.69434276157881,1,37,2,1;2;3,3;1;2,2,1583.1861879541975
pilot1,invert,110.71166944911784,2,34,2,3;2;1,1;3;2,2,1647.70478734863
pilot1,invert,121.72680591323842,1,43,2,1;2;3,3;1;2,2,1621.01112032542
pilot1,invert,132.74433754676102,1,47,2,1;2;3,3;1;2,2,2036.125193550106
pilot1,invert,143.76179369306192,2,38,2,3;2;1,1;3;2,2,1571.3963239559234
pilot1,invert,154.77869371370252,2,44,2,3;2;1,1;3;2,2,1642.7445111312409
pilot1,invert,165.79633037292115,1,29,2,1;2;3,3;1;2,2,1752.120388624462
pilot1,invert,176.81546802441517,1,23,1,1;2;3,3;2;1,1,2014.6849994871445
pilot1,invert,187.83295443853967,2,42,2,3;2;1,1;3;2,2,2405.026136082597
pilot1,invert,198.8508339696873,1,9,1,1;2;3,3;2;1,1,1979.8996129356965
pilot1,invert,209.8699982422786,2,22,1,3;2;1,1;2;3,0,2500.0109401753434
pilot1,invert,220.88712654794472,2,6,1,3;2;1,1;2;3,1,2045.6300192636263
pilot1,invert,231.90530693395704,1,1,1,1;2;3,3;2;1,1,1773.3414144768176
pilot1,invert,242.92215845314604,2,28,2,3;2;1,1;3;2,0,2500.0185983008123
pilot1,invert,253.93949899824474,2,32,2,3;2;1,1;3;2,2,1674.6967565304658
pilot1,invert,264.9596646616974,2,26,2,3;2;1,1;3;2,2,1614.6464900630235
pilot1,invert,275.97595859653666,2,18,1,3;2;1,1;2;3,1,1596.9069931798003
pilot1,invert,286.99405073178787,1,11,1,1;2;3,3;2;1,1,1620.177478844198
pilot1,invert,298.009792552366,1,45,2,1;2;3,3;1;2,2,1643.0584942099813
pilot1,invert,309.0278854169628,1,21,1,1;2;3,3;2;1,1,1537.8741631684534
pilot1,invert,320.04596916474657,2,8,1,3;2;1,1;2;3,1,2144.3716801113624
pilot1,invert,331.06238198284154,1,7,1,1;2;3,3;2;1,1,1503.2331869551854
pilot1,invert,342.0797119524359,1,35,2,1;2;3,3;1;2,2,1502.5286395612056
pilot1,invert,353.097520007761,2,2,1,3;2;1,1;2;3,1,1811.7151790575008
pilot1,invert,364.1155388438274,2,40,2,3;2;1,1;3;2,2,1501.7416761656932
pilot1,invert,375.1357438919167,2,30,2,3;2;1,1;3;2,2,1534.4451470464264
pilot1,invert,386.1514824304413,1,33,2,1;2;3,3;1;2,2,1519.2933666785393
pilot1,invert,397.16636252974786,1,41,2,1;2;3,3;1;2,2,1535.4665948998445
pilot1,invert,408.1837862201901,1,25,2,1;2;3,3;1;2,2,1805.558412157552
pilot1,invert,419.2015486914461,1,39,2,1;2;3,3;1;2,2,2316.3228169050853
pilot1,invert,430.2212949814493,1,27,2,1;2;3,3;1;2,2,1800.9212358319928
pilot1,invert,441.23932658105696,2,16,1,3;2;1,1;2;3,1,1669.5519559943932
pilot1,invert,452.2560026927422,2,20,1,3;2;1,1;2;3,1,1503.612081747633
pilot1,invert,463.274720241443,1,17,1,1;2;3,3;2;1,1,1667.1892424510588
pilot1,invert,474.2928980747474,2,36,2,3;2;1,1;3;2,2,1559.1681235346186
pilot1,invert,485.31143073445855,2,14,1,3;2;1,1;2;3,1,1541.8173676043807
pilot1,invert,496.32952505774665,1,3,1,1;2;3,3;2;1,1,1569.7250295925187
pilot1,invert,507.3500036102578,2,10,1,3;2;1,1;2;3,1,1556.7539911589847
pilot1,invert,518.3705215474074,1,15,1,1;2;3,3;2;1,1,1525.2127317398845
